category,reference_path,item_kind,item,reference_shape,disposition,scalar_action
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,MidiDataChunk.latency,WireMediaTakeLatency,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WaveformChunk.latency,WireMediaTakeLatency,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireAlignmentRegion.raw_start,u32,omit,forbidden region data
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireAlignmentRegion.raw_end,u32,omit,forbidden region data
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireAlignmentRegion.capture_alignment_frames,i32,omit,forbidden region data
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireAlignmentRegion.observation_revision,u64,omit,forbidden region data
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireApplicationPort.capture_latency,WireLatencyObservation,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireApplicationPort.playback_latency,WireLatencyObservation,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyComponentPolicy.kind,WireLatencyComponentKind,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyComponentPolicy.enabled,bool,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyComponentPolicy.value_mode,WireLatencyValueMode,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyComponentPolicy.range_selection,WireLatencyRangeSelection,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.unresolved_recipes,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.observation_changes,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.insufficient_margins,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.deferred_transitions,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.finalization_overruns,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.path_ambiguities,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.provider_failures,u64,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.applied_capture_plot,Vec<i32>,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.render_advance_plot,Vec<u32>,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.active_postroll_plot,Vec<u32>,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.plot_cursor,u8,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyDiagnostics.plot_len,u8,port-scalar,retain with scalar bounds/conversion
protocol,src/rust/shoop_audio_protocol/src/lib.rs,field,WireLatencyObservation.minimum_frames,Option<u32>,port-scalar,retain with scalar bounds/conversion
